stream_id,streamer_name,platform,game_name,category,viewer_count,follower_count,language,start_time,capture_time,stream_title,platform_id,game_id
8-K71wbo6Fc,Philippine Esports Organization,YouTube,FINAL DAY MLBB Sibol National Team Selection Asian Games,,12166,12900,,2025-11-23T05:08:40Z,2025-11-23T13:48:10.724972+00:00,FINAL DAY MLBB Sibol National Team Selection Asian Games,UCjIScqP_aoRIs5XqhW9vlMQ,
rR7iaGlvNII,Gyan Gamingㅤ,YouTube,Free Fire LIVE with gyangaming,,10255,18500000,,2025-11-23T08:29:07Z,2025-11-23T13:48:10.724972+00:00,Free Fire LIVE with gyangaming,UChXi_PlJkRMPYFQBOJ3MpxA,
k3arYYbSdvU,TG TV 24-7,YouTube,Official 24/7 Typical Gamer Fortnite Stream!,,4866,1090000,,2025-11-22T03:19:39Z,2025-11-23T13:48:10.724972+00:00,Official 24/7 Typical Gamer Fortnite Stream!,UCWWwXggCAv3pm7gR-i88P2Q,
Sbb8NlfRW0U,NoobSapiens,YouTube,GROW A GARDEN STOCK AND TRADE 24/7 🔴 LIVE,,4349,1320000,,2025-05-20T14:10:43Z,2025-11-23T13:48:10.724972+00:00,GROW A GARDEN STOCK AND TRADE 24/7 🔴 LIVE,UCTCaAbCTUqFvEDYclnPP-KQ,
E1gSND2Apv0,Munna bhai gaming,YouTube,Grandmaster Rank Push Mama 😡 Free Fire Telugu Live - Munna Bhai is Live  - Telugu Gaming Live #MBG,,1865,3810000,,2025-11-23T13:30:14Z,2025-11-23T13:48:10.724972+00:00,Grandmaster Rank Push Mama 😡 Free Fire Telugu Live - Munna Bhai is Live  - Telugu Gaming Live #MBG,UC9p7jJPFcdKS5pVZtB4oSnw,
ixKp7h13MuU,NINJA TIME,YouTube,🔴 FREE FIRE LIVE👻GARENA FREE FIRE💀GUILD TEST LIVE !! GAMING NINJA #fflive #shortslive #ff #shorts,,1833,586000,,2025-11-23T08:15:32Z,2025-11-23T13:48:10.724972+00:00,🔴 FREE FIRE LIVE👻GARENA FREE FIRE💀GUILD TEST LIVE !! GAMING NINJA #fflive #shortslive #ff #shorts,UCNa-12YIScayXb6ZO34McPA,
6GYcl0zsVW4,Manya Gaming,YouTube,MANYA IS LIVE | PLAYING REDBULL SOLO LEGENDS | BGMI,,964,240000,,2025-11-22T23:22:06Z,2025-11-23T13:48:10.724972+00:00,MANYA IS LIVE | PLAYING REDBULL SOLO LEGENDS | BGMI,UCAs6HrnZCyAb1RuIqmoisGg,
UfCKQ_r-nic,VISHNU RAJPUT GAMING,YouTube,🔴[Live]  FINALLY REGION HOGAYA  - Free Fire !!,,716,590000,,2025-11-23T08:48:33Z,2025-11-23T13:48:10.724972+00:00,🔴[Live]  FINALLY REGION HOGAYA  - Free Fire !!,UCh_ilHTu7pYJ11_XKlT_9sA,
vyXWQdBlbYs,GS Gaming X,YouTube,Granny Live Gaming|Granwy Gameplay video live|Horror Escape Game,,717,630000,,2025-11-23T13:11:53Z,2025-11-23T13:48:10.724972+00:00,Granny Live Gaming|Granwy Gameplay video live|Horror Escape Game,UCkgNHzePfJ1j1TLZCPaQYbw,
xiou-xmlbDE,Pluvarion,YouTube,PLANTS VS BRAINROTS STOCK &amp; TRADE 24/7 🔴 LIVE |  ADMIN ABUSE COUNTDOWN | ROBLOX,,742,21700,,2025-10-15T16:19:39Z,2025-11-23T13:48:10.724972+00:00,PLANTS VS BRAINROTS STOCK &amp; TRADE 24/7 🔴 LIVE |  ADMIN ABUSE COUNTDOWN | ROBLOX,UCBT7eGdAzAsDknmksa14BfQ,
kl-G_9d4EAs,Dhanush FF Gamer,YouTube,NEW GAMING ROOM😨 | M1014 PRO👑 GUILD TRAILS | 1 VS 4🔥| FREE FIRE IN TELUGU #dfg #freefire,,513,1970000,,2025-11-23T06:24:57Z,2025-11-23T13:48:10.724972+00:00,NEW GAMING ROOM😨 | M1014 PRO👑 GUILD TRAILS | 1 VS 4🔥| FREE FIRE IN TELUGU #dfg #freefire,UCczxubEt1vQ_YBeAhafCxVw,
WkSmATFLwSE,ThijmenVC,YouTube,Live 🔴 |  24/7 STOCK &amp; TRADING in PLANTS VS BRAINROTS,,558,501000,,2025-11-01T21:06:31Z,2025-11-23T13:48:10.724972+00:00,Live 🔴 |  24/7 STOCK &amp; TRADING in PLANTS VS BRAINROTS,UCU7E74EVa0nbkEKXv0YZr-w,
eI2xYVDc6Dk,Shabbir Gaming,YouTube,BGMI RANK PUSH TO TOP 100 | BGMI LIVE,,279,264000,,2025-11-23T09:46:15Z,2025-11-23T13:48:10.724972+00:00,BGMI RANK PUSH TO TOP 100 | BGMI LIVE,UCwdoaYUb3504eicw7IcHxeA,
PvsTX3-pdaE,Nimit Walia,YouTube,Granny all Escapes - HORROR Game #granny #live #shortsfeed #shortslivestream #shortslive,,245,37300,,2025-11-23T10:29:29Z,2025-11-23T13:48:10.724972+00:00,Granny all Escapes - HORROR Game #granny #live #shortsfeed #shortslivestream #shortslive,UC8Cnq4n_KfF2pU5U_Ch8Wig,
6GRB-lQ8thg,KINGYASH LIVE,YouTube,FREE FIRE LIVE CUSTOM ROOM | FF LIVE GIVEAWAY ? 🔥❤️ #freefire #ff #freefirelive,,207,160000,,2025-11-23T07:54:23Z,2025-11-23T13:48:10.724972+00:00,FREE FIRE LIVE CUSTOM ROOM | FF LIVE GIVEAWAY ? 🔥❤️ #freefire #ff #freefirelive,UCof7vuQIBZe-WathpEE91Fg,
fZCStI8u3pc,Mir Hadi ,YouTube,Perfect Slices is Live Now Ep-09 #gaming #live #perfectslices,,230,19400,,2025-11-23T12:55:33Z,2025-11-23T13:48:10.724972+00:00,Perfect Slices is Live Now Ep-09 #gaming #live #perfectslices,UC5FoVVH1IbZE2yYBl1pbDgA,
ooDXdHKtFrw,Sap gaming,YouTube,GTA 5 Live 🔥| Superman Gameplay Part 73 | Grand Theft Auto V,,379,5580,,2025-11-23T13:15:49Z,2025-11-23T13:48:10.724972+00:00,GTA 5 Live 🔥| Superman Gameplay Part 73 | Grand Theft Auto V,UCumtR44SXLgU3z78KbElfLA,
z83jZPqzVpY,P3 High,YouTube,P3 HIGH IS LIVE 🔥😳 SQUID GAME LIVE STREAM PART 67,,82,4200,,2025-11-23T12:33:05Z,2025-11-23T13:48:10.724972+00:00,P3 HIGH IS LIVE 🔥😳 SQUID GAME LIVE STREAM PART 67,UC2fBF4ez43dMAAo7jsZqLKg,
NkN8Ywu8T7g,Ak Ke Fact,YouTube,🔥Worldwide Players in BARRED GAME Live#shorts#shortsfeed#viral#ayanquest #please#support#live stream,,106,4160,,2025-11-23T09:46:03Z,2025-11-23T13:48:10.724972+00:00,🔥Worldwide Players in BARRED GAME Live#shorts#shortsfeed#viral#ayanquest #please#support#live stream,UCDEnAs_BnnBV2VokYZlvMTw,
